"LIO P1 EVENT PROGRAM — QUARTER-BY-QUARTER BUDGET & STAFFING PLAN (Q3-2026 → Q2-2027)  |  compiled 2026-07-21  |  ALL FIGURES ARE PLANNING ESTIMATES (mid-range) in EUR: FX assumed 1 USD = 0.92 EUR, 1 GBP = 1.17 EUR  |  T&E norms: EU trip €700-1,200/person, transatlantic €3,000-3,500/person incl. hotel  |  Dinners = 15-25 guests, venue+F&B  |  Scope: the 16 P1 events from the Target Event Pipeline tab + 1 committed renewal (ProcureCon West); own franchises (Bots & Buyers, webinars) NOT included  |  Sponsorship fees are estimates pending organizer quotes — treat as budget envelopes, not prices"

#,Quarter,Event,Dates,City,Booking status,Sponsorship / booth (€ est.),Sidecar dinner (€ est.),Travel & expenses (€ est.),TOTAL NEW € (est.),"Committed € (already contracted, est.)",Team on site,Staff-days,Key decisions / deadlines
13,Q2-2027,Gartner Supply Chain Symposium/Xpo Orlando,"May 3-5, 2027",Orlando,TO BOOK (net-new — BIGGEST SINGLE BET),78000,5000,12000,95000,0,"Keil, Petras, SE, PMM",12,"Analyst air-cover play. Cheap fallback if budget tightens: delegate-only probe (~€14K) + analyst 1:1s, booth in 2028. Decide by Q4-2026."
14,Q2-2027,18. BME-eLösungstage,"May 11-12, 2027",Düsseldorf,"TO BOOK by Sep 30, 2026 (early-book discount)",30000,12000,2000,44000,0,"Full DACH squad (6): AEs, FDE demo station, Events lead",12,Highest-intent DACH audience. Book partner tier before Sep 30 2026 discount lapses. Principals dinner May 11.
15,Q2-2027,World Procurement Congress London,"May 18-20, 2027",London,"TO BOOK (renewal, partner tier)",48000,14000,6000,68000,0,"Keil, Wagner, EU AE, PMM",12,Anchor UK play: partner tier + AI Forum slot + Gaucho dinner aimed at FS CPOs (Munich Re/ERGO peer set).
16,Q2-2027,DPW New York,Jun 2027 (TBA),New York,TO BOOK (renewal of triple presence),35000,14000,13000,62000,0,"Keil, Petras, Schmid, SE, PMM",15,Sponsor + booth + speaker + private dinner. Stage the 'agentic won in America' customer proof here.
17,Q2-2027,Procurement Summit Hamburg,"Jun 23-24, 2027",Hamburg,TO BOOK (renewal),18000,0,2000,20000,0,Founders masterclass + 3 DACH AEs + FDE,10,4th consecutive year; keep booth + masterclass formula. Sustainability Summit covered from same booth at zero marginal cost.
,— Q2-2027 SUBTOTAL —,,,,,,,,376000,0,,76,

,GRAND TOTAL (4 quarters),,,,,,,,736000,105000,,204,
,+ 12% contingency on new spend,,,,,,,,88320,,,,"Overruns: last-minute speaker travel, dinner upgrades, FX"
,PROGRAM ENVELOPE (new + committed + contingency),,,,,,,,929320,,,,"Planning range: -25% (lean: cut Gartner booth to delegate probe, trim 2 dinners) to +30% (aggressive: bigger booths, add P2s)"

STAFFING PLAN
Founder load,"Keil ~9 events (peaks May 2027: Gartner→eLT→WPC in 3 weeks — protect calendar); Wagner ~6; Heinzmann 1-2 (DPW, technical stages). Rule: never all 3 founders at one external event; Keil priority = award stages + BPO keynotes + C-level dinners."
US pod (NYC),"Petras ~8 events (owns SIG, NAPES, PC West, San Diego); Schmid 4-5; every US booth needs 1 SE/FDE for live agent demos. Q1-2027 collision (SSOW Orlando ∥ PC West Vegas same week) resolved: Keil→Orlando, Petras→Vegas."
DACH squad,"2-3 AEs per German trade fair; FDE demo station at eLösungstage, Procurement Summit, DPW; Berlin November week (Maschinenbau-Gipfel P2 + SSOW DACH + BME) = one 10-day deployment, one dinner."
Marketing/events,"Events lead (Stäbe) runs all 10 sidecar dinners (~€120K of the budget) + booth ops; PMM at analyst events (Gartner, DPW) for AR meetings and content capture."
Hiring recommendation,"1) US field-marketing/events contractor from Jan 2027 (Mar-Jun 2027 has 7 US/UK/EU events in parallel with DACH spring). 2) Second Sales Engineer for demo coverage by Q2-2027. Without these, Q2-2027 (7 events, 76 staff-days) breaks the current team."
Total load,204 on-site staff-days across 17 events; +~30% prep/follow-up ≈ 265 staff-days ≈ 1.2 FTE-years spread across GTM team.
Cadence rules,Every P1 gets a sidecar dinner where the format allows (10 budgeted). Book Q3-2026 items THIS WEEK (3 deadlines by Jul 31). Decisions needed by Q4-2026: Gartner booth vs probe; SSON bundle scope; WBR two-event bundle.
