LIO TARGET EVENT PIPELINE - US - UK - EU/DACH  |  compiled 2026-07-20  |  Priorities: P1 must-own (highest ICP density x strategic leverage) - P2 strong fit (selective sponsor/attend) - P3 opportunistic/intel/monitor  |  ICP density = seniority concentration x ICP-segment match x decision power in room  |  companion to the Event History sheet  |  REFRESHED 2026-08-31: Owner / Next action / Next action due / Timing columns added; every row re-dated against the September 2026 calendar
"OWNER LEGEND — Keil (CEO) · Wagner (COO) · Heinzmann (CTO) · Petras (Head of US Growth) · Schmid (VP Sales) · Nusmeier (Head of Partnerships) · Stäbe (Events, in-house event lead) · PMM (product marketing / analyst relations) · DACH sales lead · EU AE. P1 owners are taken from the 'Team on site' column of the P1 Budget & Staffing tab (first-named lead). P2/P3 owners are PROPOSED DEFAULTS derived from the staffing rules in that tab (US pod -> Petras/Schmid, DACH fairs -> DACH sales lead/Stäbe, analyst events -> PMM, partner/vendor turf -> Nusmeier/PMM) — they are not decisions on record and need confirming.  |  TIMING LEGEND — ACT NOW (event within 30 days) · LAPSED (a booking deadline passed, still recoverable) · MISSED (the 2026 edition has gone) · DECIDE IN SEP (Oct-Nov event, booking decision due now) · Q4-2026 · 2027 planning · Monitor / intel."
#,Event,Region,Organizer,Next edition,City,Format,Scale,Audience / seniority,ICP segment(s) hit,ICP density (why),Priority,Lio status,Sponsorship,Price signal,Why Lio should be there,Source,Owner,Next action,Next action due,Timing (as of 2026-08-31)
15,Americas Procurement Congress 2027,US,Procurement Leaders / World 50,Mar 2027 (month confirmed; venue TBA),TBA (rotates; 2026 New Orleans),CPO congress + AI Forum,~500+ est.,CPOs of Global 2000; membership-gated,US F500 indirect,"HIGH — CPO-only density, AI Forum returns",P1,Already attends (2026: 2 roundtables + workshop),Yes,Member/partner pricing,The US CPO-membership room. Convert 2026's workshop goodwill into an AI Forum main-stage slot; leverage the same World 50 relationship for the Procurement Accelerator roundtables.,events.procurementleaders.com/americas-procurement-congress/,Petras,Convert 2026 workshop goodwill into an AI Forum main-stage slot via the World 50 relationship,2026-11-30,2027 planning
16,Gartner Supply Chain Symposium/Xpo 2027 (US),US,Gartner,"May 3-5, 2027 (confirmed)",Orlando,Analyst mega-conference,"~3,000+ est.",CSCOs + CPOs of Global 2000 — budget holders with analyst air cover,US F500 + analyst/category legitimacy,HIGH — highest-seniority mix in US supply chain/procurement,P1,NET-NEW — not yet attended,Yes (premium exhibitor $$$),Delegate ~$4K; booths five-figure,Enterprise buyers de-risk agentic-AI bets through Gartner (which predicts 40% of agentic projects fail — buyers need analyst-endorsed vendors). Presence here + Gartner analyst relations directly counters the skepticism blocking big deals. Budget-heavy but strategically load-bearing for the category-leader claim.,gartner.com/en/conferences/na/supply-chain-us,Keil,Decide booth (€95K) vs delegate-probe (€14K) + analyst 1:1s - the single biggest line in the program,2026-12-31,Q4-2026 decision
17,15. BME-Praxisforum Indirekter Einkauf,DACH,BME e.V.,"Sep 29 - Oct 1, 2026 (confirmed; main day Sep 30)",Frankfurt,Focused forum + workshops,~120-200 est.,"Indirect-procurement leads, German-speaking",Primary DACH industrial (indirect/tail),MEDIUM-HIGH — small but pure indirect persona,P2,NET-NEW,Limited/Yes,"Early-bird −€100 ends JUL 31, 2026 — days away","Bullseye for the tail-spend/indirect narrative in German. Small room, zero noise. Register before the Jul 31 early-bird lapses. Collides with DPW Amsterdam + ProcureCon EU week — send a DACH AE, not founders.",bme.de/veranstaltungen/grossveranstaltungen/15-bme-praxisforum-indirekter-einkauf/,Stäbe (Events),LAPSED: early-bird closed Jul 31 - book at standard rate or downgrade to attend-only,2026-09-08,LAPSED + ACT NOW - event in 29d
18,12. BME Fachkonferenz IT-SOURCING,DACH,BME e.V.,"Oct 19-20, 2026 (confirmed)",Mannheim,Conference,~150-250 est.,IT-sourcing + indirect category owners,Primary DACH (IT/indirect category),MEDIUM — category-specific entry,P2,NET-NEW,Yes,"~€1,200-1,600 est.",IT-sourcing leads are early AI adopters and own the SaaS/tail categories where Lio's negotiation agents show fastest ROI. Cheap category beachhead.,bme.de/veranstaltungen/grossveranstaltungen/it-sourcing-2025/,DACH sales lead,Decide attend-or-speak; this is the CIO/CISO gatekeeper audience,2026-09-30,DECIDE IN SEP
19,BMÖ Österreichisches EinkaufsForum 2026,DACH,BMÖ,"Oct 14-15, 2026 (confirmed)",Vienna (The Hoxton),Austrian procurement congress,~150-300 est.,Austrian CPOs/Heads (voestalpine/Andritz/Palfinger orbit),Primary DACH industrial (Austria),MEDIUM-HIGH — THE Austrian fixture,P2,NET-NEW,Likely yes,"~€1,000-1,500 est.",Cheap entry into Austrian enterprise accounts (ams-OSRAM already a customer — bring them as reference). One event covers the whole AT market.,bmoe.at/oesterreichisches-einkaufsforum/,DACH sales lead,Decide attend vs skip; pair the trip with the SAP Connect Vienna partner angle if that lands,2026-09-15,DECIDE IN SEP
20,procure.ch Fachtagung 'Innovative Beschaffung',DACH,procure.ch,"Sep 1, 2026 (confirmed)","Langnau i.E., Switzerland",1-day Fachtagung,~100-200 est.,Swiss procurement leaders,Primary DACH (Switzerland),"MEDIUM-HIGH — agenda literally 'KI, Autonomous Procurement'",P2,NET-NEW,Partner options est.,Low hundreds CHF,"The agenda is Lio's pitch verbatim — a speaking slot here is close to free money in a market where Lio already has REHAU, Dormakaba, Galenica as Swiss references.",procure.ch/bildung/fachtagungen/fachtagung-innovative-beschaffung-1,DACH sales lead,"Too late to sponsor - the event runs Sep 1. Walk-in attendance only, or write off and target the 2027 Frühjahrstagung",2026-09-01,ACT NOW - event in 1d
21,procure.ch Frühjahrstagung 2027,DACH,procure.ch,"May 2027 (annual; TBA; 2026 was May 21, Bern)",Bern (Bellevue Palace),Swiss flagship congress,~200-300 est.,Swiss Einkaufsleiter/CPOs,Primary DACH (Switzerland),MEDIUM-HIGH,P2,NET-NEW,Yes est.,Mid,Pairs with Innovative Beschaffung for a Swiss one-two; Swiss references make this a harvest market.,procure.ch/tagungen/fruehjahrstagung,DACH sales lead,"Watch for the 2027 date; this is the Swiss ICP cluster (Galenica, Dormakaba, REHAU CH)",2026-12-31,2027 planning
22,Deutscher Maschinenbau-Gipfel 2026 (16.),DACH,Produktion + VDMA + VDW,"Nov 10-11, 2026 (confirmed)",Berlin,C-suite summit + invite 'Salon',900+ Entscheider,CEOs/owners/COOs of German machinery companies — NOT a procurement event,Primary DACH industrial — the OWNERS,MEDIUM-HIGH — top-down door-opener into the exact €2-12B family-owned ICP,P2,NET-NEW,Yes (incl. Salon format),Premium C-level pricing,"Unconventional but surgical: Lio's primary ICP is family-owned machinery — this is where their owners and COOs gather. One Salon conversation with an owner beats ten procurement-manager leads. Sequence into the Nov Berlin cluster (Maschinenbau-Gipfel → SSOW DACH → BME Symposium = 10 days, one city).",maschinenbau-gipfel.de/,Wagner,"Decide sponsor vs attend - the room is family-owner/CEO level, the primary-ICP decision layer. NOTE: this is a SEPARATE Berlin week (Nov 10-12), not the Nov 17-19 SSOW+BME week - it needs its own dinner and budget line",2026-09-20,Q4-2026 - decide in Sep
23,Automobilwoche Kongress 2026 (20.),DACH,Automobilwoche (Crain),"Nov 11-12, 2026 (confirmed)",Berlin,Automotive congress + gala,Top-management scale,Automotive OEM + supplier C-level incl. purchasing board members; startup session exists,Primary DACH (automotive cluster),"MEDIUM — C-level auto, purchasing present but not core focus",P2,NET-NEW,Yes,Premium,7 of Lio's logos are auto suppliers under EV-transition margin pressure — the 10%-savings message lands hardest here. Startup-session slot = cheap stage.,automobilwoche-kongress.de/,DACH sales lead,"CONFLICT: overlaps Maschinenbau-Gipfel (Nov 10-11) in the same city - cover both with a split team or a staggered 3-day Berlin trip, or drop one",2026-09-20,Q4-2026 - conflict
24,SSOW Autumn 2026 (EU),EU,SSON / IQPC,"Oct 20-22, 2026 (confirmed)",Amsterdam (RAI),GBS conference,"350+ att., 150+ companies",SVP/Head GBS with explicit S2P-leaders track,GBS/BPO displacement (EU),MEDIUM-HIGH — EU GBS with S2P track,P2,NET-NEW,Yes,"~€2,000+ est.",The EU autumn GBS stop with a source-to-pay track — natural extension of the SSON relationship; 3 weeks after DPW in the same venue city.,ssonetwork.com/events-ssow-autumn,Petras,"Fold into the SSON multi-event bundle scope, then decide attend vs skip",2026-09-15,DECIDE IN SEP
25,SSOW Europe 2027,EU,SSON / IQPC,May 2027 (annual; TBA; 2026 was Lisbon),Lisbon (expected),Europe's #1 GBS event,950+ leaders,EU GBS hub leadership of multinationals,GBS/BPO displacement (EU flagship),HIGH audience / P2 pending 2027 date,P2,NET-NEW,Yes,"~€2,500-3,500 est.",The European flagship for the ~7%-of-BPO-cost story at scale; slot into the SSON bundle once dates publish.,ssonetwork.com/events-ssoweek,Petras,Include in the SSON bundle negotiation; watch for the 2027 date and city,2026-10-31,2027 planning
26,Deloitte Shared Services Conference 2026 (29th),EU,Deloitte,"Oct 6-7, 2026 (confirmed)",Brussels (SQUARE),GBS conference,800+ SSC/GBS leaders,Largest neutral-ish GBS audience in continental EU,GBS/BPO displacement,HIGH audience / limited access — Deloitte controls the stage,P2,NET-NEW (attend-only),Deloitte-curated; vendor slots limited,"~€1,000-1,500 delegate est.",Go as delegates and work the floor — 800 GBS leaders in two days. No booth expectations; target follow-up dinners. Deloitte alliance conversations are a side benefit (their GBS advisory redesigns the operating models Lio automates).,deloitte.co.uk/sharedservicesconference/,EU AE,"Register 1-2 attendees (attend-only, no sponsorship)",2026-09-15,DECIDE IN SEP
27,Everest Group Engage - Dallas,US,Everest Group,"Oct 5, 2026 (confirmed)",Dallas,1-day analyst conference,GBS heads + Everest analysts,GBS/sourcing/vendor-management leaders + the analysts who benchmark BPO deals,GBS/BPO + analyst relations,MEDIUM-HIGH — buyers AND the referees in one room,P2,NET-NEW,Limited/unknown,Mid,"Everest writes the BPO benchmarks CFOs use — being the 'agentic alternative' in their coverage reshapes every future BPO renewal conversation. One day, double payoff (pipeline + analyst relations). London edition 2027 covers EU.",everestgrp.com/events/conferences/engage-dallas-2026/,PMM,"Book analyst 1:1s around the event, then decide attend vs skip",2026-09-10,DECIDE IN SEP
28,Everest Group Engage Europe 2027,EU,Everest Group,"2027, London (announced 'see you in 2027')",London,1.5-day analyst conference,200+ GBS/sourcing leaders,GBS + vendor-management + analysts,GBS/BPO + analyst relations,MEDIUM-HIGH,P2,NET-NEW,Yes (Title→Supporting tiers),Mid,EU mirror of Dallas — analyst-relations + GBS pipeline in one; sponsorable tiers exist.,events.everestgrp.com/engage-london2026,PMM,Watch for the 2027 date; build on the Everest analyst relationship started at Dallas,2027-01-31,2027 planning
29,Gartner Supply Chain Symposium/Xpo 2027 (EMEA),EU,Gartner,"May 24-26, 2027 (confirmed)",Barcelona (CCIB),Analyst symposium + expo,"~2,000+ est.","CSCO/CPO/VP budget-holders; industrial, CPG, pharma, automotive",EU enterprise + analyst legitimacy,HIGH audience / heavy cost,P2,NET-NEW,Yes (expensive),Delegate ~€4K; five-figure booths,"Same analyst-air-cover logic as Orlando, for the EU buying centers. If budget forces a choice, Orlando first (US growth mandate), Barcelona second.",gartner.com/en/conferences/emea/supply-chain-spain,PMM,Hold until the US Gartner booth-vs-probe decision lands - do not commit to two Gartner booths in one year,2026-12-31,2027 planning - gated
30,ProcureCon Connect 2027 (EU),EU,WBR,"Apr 20-21, 2027 (confirmed)",Paris (Novotel Tour Eiffel),"Invite-only forum, concierged 1:1s",75+ att. incl. 25+ CPOs,"EU multinational CPOs, hosted-buyer model",EU indirect + primary ICP CPOs,HIGH per-head / small absolute,P2,Already attends (Keil spoke 2026),Yes (prospectus),Sponsor-funded; delegates hosted,Highest CPO-density-per-head format in EMEA — 25+ guaranteed CPO conversations. Renew; cheap relative to per-meeting value.,procureconconnect.wbresearch.com/,Keil,Renew the speaking slot; include in the WBR portfolio negotiation,2026-11-30,2027 planning
31,Procurement Leaders European Forum 2027,EU,Procurement Leaders / World 50,"2027 (city TBA; 2026 was Berlin, 100 leaders)",TBA,1-day member forum,~100 senior leaders,PL member CPOs in Europe,Primary DACH + EU CPOs,"MEDIUM-HIGH — small, senior, member-gated",P2,NET-NEW (relationship exists via WPC/APC),Via PL partnership,Member/partner,Extend the existing Procurement Leaders partnership; lobby for a Munich edition — Lio could host at the Clubhouse.,events.procurementleaders.com/european-forum/,Wagner,Use the WPC/APC partner relationship to request an invite to the 2027 edition,2026-12-31,2027 planning
32,Reuters Events: Sourcing & Procurement USA 2026 (inaugural),US,Reuters Events,"Nov 3-4, 2026 (confirmed)",Chicago (venue TBC),2-day executive conference,Inaugural — scale unproven,CPOs + senior procurement; AI + tariff agenda; Jaggaer already sponsoring,US F500 indirect,MEDIUM (unproven) with HIGH upside,P2,NET-NEW,Yes,Year-one sponsorships under-priced,New events under-price year one — buy the early-mover slot before it becomes established (Jaggaer already moved). Reuters brand pulls CPO titles; agenda is already agentic-AI-heavy.,events.reutersevents.com/supply-chain/sourcing-procurement-usa,Schmid,Inaugural and under-priced - decide sponsor vs attend,2026-09-20,Q4-2026 - decide in Sep
33,Consero Procurement & Strategic Sourcing Forum,US,Consero Group,"Dec 6-8, 2026 (confirmed)","Coral Gables, Miami (Biltmore)","Invite-only forum, curated 1:1s",~60-100 est.,CPO/VP sourcing only,US F500 indirect,HIGH per-head — pay-per-meeting economics,P2,NET-NEW,Yes (paid 1:1 sponsor model),Per-meeting pricing,Efficient CAC math: guaranteed curated CPO meetings in an intimate setting — good Q4 pipeline builder for the NYC pod.,consero.com/events/procurement-strategic-sourcing-forum-7/,Schmid,Request the hosted-buyer forum quote,2026-10-15,Q4-2026
34,ProcureCon Connect USA 2027,US,WBR,Jun 2027 (month confirmed; city TBA),TBA,"Invite-only, 1:1-driven",~50-150,C/SVP/VP at $100M+ orgs; hosted-buyer,US F500 indirect,HIGH per-head,P2,"Already attends (Petras + Schmid, 2026 Austin)",Yes,Hosted-buyer model,"Renew — first outing produced the US team's warmest pipeline format; low cost, high touch.",procureconconnectus.wbresearch.com/,Petras,Renew (Petras + Schmid attended Austin 2026); include in the WBR portfolio negotiation,2026-12-31,2027 planning
35,SSON Intelligent Automation Week Winter,US,SSON,"Dec 1-3, 2026 (confirmed)",New Orleans (Hilton Riverside),Automation conference,IA leads in SS/GBS & finance,Automation/IA budget holders in shared services,GBS/BPO + automation budget,MEDIUM-HIGH — 'agents vs RPA' story lands perfectly,P2,NET-NEW,Yes (prospectus published),Standard SSON tiers,The audience that bought RPA and got underwhelmed — prime for the agent upgrade narrative. Fold into the SSON multi-event bundle.,ssonetwork.com/intelligent-automation-week-december,Petras,"Include in the SSON bundle, then decide attend vs skip",2026-09-30,Q4-2026
36,ISM World 2027,US,Institute for Supply Management,"May 16-19, 2027 (confirmed)","National Harbor, DC (Gaylord)",Association mega-conference,"~2,500+ hist. est.",Broad supply-management incl. many F500 CPOs; mixed seniority,US brand/scale layer,MEDIUM — scale over seniority,P2,NET-NEW,Yes (expo),Association expo pricing,The US profession's biggest tent — brand-building and mid-funnel volume once the US reference base exists. Booth + certification-audience content play.,ismworld.org/events/conferences-and-events/annual-conference/,Schmid,"CONFLICT: overlaps WPC London (May 18-20, 2027) - decide which anchor wins that week",2026-12-31,2027 planning - conflict
